Customer ID,Cluster,recency_days,frequency,monetary,aov
AA-10315,2,185,11,5563.56,505.77818181818185
AA-10375,1,20,15,1056.39,70.426
AA-10480,1,260,12,1790.5120000000002,149.20933333333335
AA-10645,2,56,18,5086.9349999999995,282.60749999999996
AB-10015,0,416,6,886.156,147.69266666666667
AB-10060,2,55,18,7755.62,430.86777777777775
AB-10105,2,42,20,14473.570999999998,723.6785499999999
AB-10150,1,42,12,966.71,80.55916666666667
AB-10165,1,26,14,1113.838,79.55985714285714
AB-10255,1,167,14,914.5319999999999,65.32371428571427
AB-10600,1,51,8,1515.862,189.48275
AC-10420,1,233,5,925.8,185.16
AC-10450,2,12,9,5527.846,614.205111111111
AC-10615,1,7,18,2537.6859999999997,140.98255555555554
AC-10660,0,283,6,657.316,109.55266666666667
AD-10180,2,30,12,6106.88,508.9066666666667
AF-10870,1,42,16,2052.908,128.30675
AF-10885,0,416,7,861.565,123.0807142857143
AG-10270,1,279,14,2582.898,184.4927142857143
AG-10300,1,119,5,367.548,73.5096
AG-10330,1,9,9,660.972,73.44133333333333
AG-10390,1,115,8,200.945,25.118125
AG-10495,1,79,21,2356.855,112.23119047619048
AG-10525,0,846,9,1455.038,161.6708888888889
AG-10675,1,98,15,3489.0396000000005,232.60264000000004
AG-10765,1,78,5,170.584,34.1168
AG-10900,2,97,21,4510.797,214.79985714285712
AH-10030,1,13,11,1744.7,158.60909090909092
AH-10075,1,35,20,3250.337,162.51685
AH-10120,1,61,16,1735.5140000000001,108.46962500000001
AH-10195,1,56,8,1587.452,198.4315
AH-10210,2,7,13,4805.344,369.64184615384613
AH-10465,1,231,8,2495.3916,311.92395
AH-10585,1,22,5,738.504,147.70080000000002
AH-10690,2,411,23,7888.294,342.9693043478261
AI-10855,1,14,18,4375.786,243.09922222222224
AJ-10780,2,76,15,4867.344,324.4896
AJ-10795,2,167,21,4501.391,214.35195238095235
AJ-10945,1,86,10,1839.24,183.924
AJ-10960,1,75,5,629.2479999999999,125.84959999999998
AM-10360,1,29,12,814.012,67.83433333333333
AM-10705,2,163,22,5664.022,257.4555454545455
AO-10810,0,502,1,161.28,161.28
AP-10720,1,42,19,1638.554,86.23968421052632
AP-10915,2,99,31,3323.556,107.21148387096774
AR-10345,1,112,5,1055.694,211.1388
AR-10405,1,126,7,2236.128,319.44685714285714
AR-10510,1,15,7,264.86400000000003,37.83771428571429
AR-10540,2,7,9,6608.448,734.272
AR-10570,0,535,2,88.15,44.075
AR-10825,1,59,13,4523.336,347.9489230769231
AS-10045,1,89,10,3050.692,305.0692
AS-10090,1,29,25,3255.31,130.2124
AS-10135,1,42,3,58.82,19.606666666666666
AS-10225,1,23,13,4260.784,327.75261538461535
AS-10240,1,193,13,584.6080000000001,44.969846153846156
AS-10285,1,20,8,3214.236,401.7795
AS-10630,1,93,12,833.398,69.44983333333333
AT-10435,1,22,9,1171.814,130.20155555555556
AT-10735,1,14,16,3831.864,239.4915
AW-10840,1,21,8,649.376,81.172
AW-10930,1,47,16,2852.968,178.3105
AY-10555,1,15,10,497.014,49.7014
AZ-10750,1,161,12,1622.0179999999998,135.16816666666665
BB-10990,1,106,8,744.3399999999999,93.04249999999999
BB-11545,2,29,20,6765.728,338.2864
BC-11125,1,203,18,2933.676,162.982
BD-11320,2,34,19,5718.521,300.9747894736842
BD-11500,1,36,10,4411.2429999999995,441.12429999999995
BD-11560,0,279,4,320.54,80.135
BD-11605,1,98,20,3288.471,164.42355
BD-11620,1,70,8,1538.11,192.26375
BD-11635,1,10,5,582.646,116.52919999999999
BD-11725,1,94,10,1526.5,152.65
BD-11770,0,328,10,658.466,65.8466
BE-11335,1,120,9,4204.676,467.1862222222223
BE-11410,1,99,5,2261.438,452.2876
BE-11455,1,255,13,1727.652,132.8963076923077
BF-10975,1,92,13,599.798,46.13830769230769
BF-11005,1,40,10,1333.88,133.388
BF-11020,1,75,21,2888.506,137.54790476190476
BF-11080,1,26,6,272.95,45.49166666666667
BF-11170,2,17,27,5907.972,218.81377777777777
BF-11215,1,66,8,1585.162,198.14525
BF-11275,1,58,4,791.9899999999999,197.99749999999997
BG-11035,1,29,12,2798.948,233.24566666666666
BG-11695,1,37,8,1874.172,234.2715
BG-11740,1,58,7,1006.356,143.76514285714285
BH-11710,2,24,24,6255.351,260.63962499999997
BK-11260,1,78,16,659.1379999999999,41.196124999999995
BM-11140,2,308,16,11789.63,736.851875
BM-11575,1,101,10,808.162,80.81620000000001
BM-11650,2,34,29,7294.185,251.5236206896552
BM-11785,1,219,14,1338.842,95.63157142857143
BN-11470,1,25,6,265.296,44.216
BN-11515,1,10,17,1459.344,85.84376470588235
BO-11350,1,138,12,2682.728,223.56066666666666
BO-11425,1,76,2,130.83,65.415
BP-11050,1,84,7,983.42,140.48857142857142
BP-11095,1,18,20,2442.044,122.1022
